Team	W	L	W/L%	GB	PS/G	PA/G	SRS
Milwaukee Bucks* (7) 	44	38	.537	15.0	106.5	106.8	-0.45
Washington Wizards* (8) 	43	39	.524	16.0	106.6	106.0	0.53
Detroit Pistons (9) 	39	43	.476	20.0	103.8	103.9	-0.26
Charlotte Hornets (10) 	36	46	.439	23.0	108.2	108.0	0.07
New York Knicks (11) 	29	53	.354	30.0	104.5	108.0	-3.53
Brooklyn Nets (12) 	28	54	.341	31.0	106.6	110.3	-3.67
Chicago Bulls (13) 	27	55	.329	32.0	102.9	110.0	-6.84
Orlando Magic (14) 	25	57	.305	34.0	103.4	108.2	-4.92
Atlanta Hawks (15) 	24	58	.293	35.0	103.4	108.8	-5.30
Houston Rockets* (1) 	65	17	.793	—	112.4	103.9	8.21
Golden State Warriors* (2) 	58	24	.707	7.0	113.5	107.5	5.79
Portland Trail Blazers* (3) 	49	33	.598	16.0	105.6	103.0	2.60
Oklahoma City Thunder* (4) 	48	34	.585	17.0	107.9	104.4	3.42
Utah Jazz* (5) 	48	34	.585	17.0	104.1	99.8	4.47
New Orleans Pelicans* (6) 	48	34	.585	17.0	111.7	110.4	1.48
San Antonio Spurs* (7) 	47	35	.573	18.0	102.7	99.8	2.89
Minnesota Timberwolves* (8) 	47	35	.573	18.0	109.5	107.3	2.35
Denver Nuggets (9) 	46	36	.561	19.0	110.0	108.5	1.57
Los Angeles Clippers (10) 	42	40	.512	23.0	109.0	109.0	0.15
Los Angeles Lakers (11) 	35	47	.427	30.0	108.1	109.6	-1.44
Sacramento Kings (12) 	27	55	.329	38.0	98.8	105.8	-6.60
Dallas Mavericks (13) 	24	58	.293	41.0	102.3	105.4	-2.70
Memphis Grizzlies (14) 	22	60	.268	43.0	99.3	105.5	-5.81
Phoenix Suns (15) 	21	61	.256	44.0	103.9	113.3	-8.80
Boston Celtics* (1) 	53	29	.646	—	108.0	105.4	2.25
Cleveland Cavaliers* (2) 	51	31	.622	2.0	110.3	107.2	2.87
Toronto Raptors* (3) 	51	31	.622	2.0	106.9	102.6	3.65
Washington Wizards* (4) 	49	33	.598	4.0	109.2	107.4	1.36
Atlanta Hawks* (5) 	43	39	.524	10.0	103.2	104.0	-1.23
Milwaukee Bucks* (6) 	42	40	.512	11.0	103.6	103.8	-0.45
Indiana Pacers* (7) 	42	40	.512	11.0	105.1	105.3	-0.64
Chicago Bulls* (8) 	41	41	.500	12.0	102.9	102.4	0.03
Miami Heat (9) 	41	41	.500	12.0	103.2	102.1	0.77
Detroit Pistons (10) 	37	45	.451	16.0	101.3	102.5	-1.29
Charlotte Hornets (11) 	36	46	.439	17.0	104.9	104.7	-0.07
New York Knicks (12) 	31	51	.378	22.0	104.3	108.0	-3.87
Orlando Magic (13) 	29	53	.354	24.0	101.1	107.6	-6.61
Philadelphia 76ers (14) 	28	54	.341	25.0	102.4	108.1	-5.83
Brooklyn Nets (15) 	20	62	.244	33.0	105.8	112.5	-6.74
Golden State Warriors* (1) 	67	15	.817	—	115.9	104.3	11.35
San Antonio Spurs* (2) 	61	21	.744	6.0	105.3	98.1	7.13
Houston Rockets* (3) 	55	27	.671	12.0	115.3	109.6	5.84
Los Angeles Clippers* (4) 	51	31	.622	16.0	108.7	104.4	4.42
Utah Jazz* (5) 	51	31	.622	16.0	100.7	96.8	4.00
Oklahoma City Thunder* (6) 	47	35	.573	20.0	106.6	105.8	1.14
Memphis Grizzlies* (7) 	43	39	.524	24.0	100.5	100.0	0.96
Portland Trail Blazers* (8) 	41	41	.500	26.0	107.9	108.5	-0.23
Denver Nuggets (9) 	40	42	.488	27.0	111.7	111.2	0.70
New Orleans Pelicans (10) 	34	48	.415	33.0	104.3	106.4	-1.69
Dallas Mavericks (11) 	33	49	.402	34.0	97.9	100.8	-2.53
Sacramento Kings (12) 	32	50	.390	35.0	102.8	106.7	-3.29
Minnesota Timberwolves (13) 	31	51	.378	36.0	105.6	106.7	-0.64
Los Angeles Lakers (14) 	26	56	.317	41.0	104.6	111.5	-6.29
Phoenix Suns (15) 	24	58	.293	43.0	107.7	113.3	-5.14
